宝	treasure	hoo	takara	sounds/g6/e5ae9d_takara.wav	ホウ	たから	treasure; wealth; valuables
訪	call on	hoo	otozu(reru), tazu(neru)	sounds/g6/e8a8aa_otozureru.wav	ホウ	おとずれる,たずねる	call on; visit; look up; offer sympathy
亡	deceased	boo, moo	na(i)	sounds/common/nai.wav	ボウ,モウ	ない,なき-	deceased; the late; dying; perish
忘	forget	boo	wasu(reru)	sounds/g6/e5bf98_wasureru.wav	ボウ	わすれる	forget
棒	rod	boo	bou	sounds/common/bou.wav	ボウ	ボウ	rod; stick; cane; pole; club; line
並	row	hei	nami, mara(beru), nara(bu), nara(bini)	JDIC_Audio_All/なみ - 並.mp3	ヘイ,ホウ	なみ,ならべる	row; and; besides; as well as; line up; rank with; rival; equal
閉	closed	hei	to(jiru), to(zasu), shi(meru), shi(maru)	JDIC_Audio_All/しまる - 閉まる.mp3	ヘイ	とじる,とざす	closed; shut
陛	highness	hei	hei	sounds/common/hei.wav	ヘイ	ヘイ	highness; steps (of throne)
片	one-sided	hen	kata	JDIC_Audio_All/かたづく - 片づく.mp3	ヘン	かた-,かた	one-sided; leaf; sheet; right-side kata radical (no. 91)
腹	abdomen	fuku	hara	JDIC_Audio_All/はら - 腹.mp3	フク	はら	abdomen; belly; stomach
奮	stirred up	fun	furu(u)	JDIC_Audio_All/ふるう - 奮う.mp3	フン	ふるう	stirred up; be invigorated; flourish
班	squad	han	han	JDIC_Audio_All/はん - 班.mp3	ハン	ハン	squad; corps; unit; group
晩	nightfall	ban	ban	JDIC_Audio_All/ばん - 晩.mp3	バン	バン	nightfall; night
否	negate	hi	ina	JDIC_Audio_All/いいや - 否.mp3	ヒ	いな,いや	negate; no; noes; refuse; decline; deny
批	criticism	hi	hi	sounds/common/hi.wav	ヒ	ヒ	criticism; strike
秘	secret	hi	hi(meru)	JDIC_Audio_All/ひそか - 秘か.mp3	ヒ	ひめる,ひそか	secret; conceal
難	difficult	nan	kata(i), muzuka(shii)	JDIC_Audio_All/なん - 難.mp3	ナン	かたい,-がたい	difficult; impossible; trouble; accident; defect
乳	milk	nyuu	chichi, chi	JDIC_Audio_All/ちち - 乳.mp3	ニュウ	ちち,ち	milk; breasts
認	acknowledge	nin	mito(meru)	JDIC_Audio_All/みとめ - 認め.mp3	ニン	みとめる,したためる	acknowledge; witness; discern; recognize; appreciate; believe
納	settlement	noo, naQ, na, nan, too	osa(meru), osa(maru)	JDIC_Audio_All/おさめる - 納める.mp3	ノウ,ナッ	おさめる,-おさめる	settlement; obtain; reap; pay; supply; store
脳	brain	noo	meuzuru	JDIC_Audio_All/のう - 脳.mp3	ノウ,ドウ	のうずる	brain; memory
派	faction	ha	ha	JDIC_Audio_All/は - 派.mp3	ハ	ハ	faction; group; party; clique; sect; school
俳	haiku	hai	hai	sounds/common/hai.wav	ハイ	ハイ	haiku; actor
拝	worship	hai	oga(mu)	JDIC_Audio_All/はい - 拝.mp3	ハイ	おがむ,おろがむ	worship; adore; pray to
背	stature	hai	se, sei, somu(ku), somu(keru)	JDIC_Audio_All/せい - 背.mp3	ハイ	せ,せい	stature; height; back; behind; disobey; defy; go back on; rebel
肺	lungs	hai	hai	JDIC_Audio_All/はい - 肺.mp3	ハイ	ハイ	lungs
届	deliver	kai	todo(keru), todo(ku)	JDIC_Audio_All/とどけ - 届.mp3	カイ	とどける,-とどけ	deliver; reach; arrive; report; notify; forward
党	party	too	nakama	JDIC_Audio_All/とう - 党.mp3	トウ	なかま,むら	party; faction; clique
糖	sugar	too	tou	JDIC_Audio_All/とう - 糖.mp3	トウ	トウ	sugar
討	chastise	too	u(tsu)	JDIC_Audio_All/うつ - 討つ.mp3	トウ	うつ	chastise; attack; defeat; destroy; conquer
庁	government office	choo	yakusyo	JDIC_Audio_All/ちょう - 庁.mp3	チョウ,テイ	やくしょ	government office
潮	tide	choo	shio	JDIC_Audio_All/うしお - 潮.mp3	チョウ	しお,うしお	tide; salt water; opportunity
頂	place on the head	choo	itada(ku), itadaki	JDIC_Audio_All/いただき - 頂.mp3	チョウ	いただく,いただき	place on the head; receive; top of head; top; summit; peak
賃	fare	chin	chin	sounds/common/chin.wav	チン	チン	fare; fee; hire; rent; wages; charge
痛	pain	tsuu	ita(i), ita(mu), ita(meru)	JDIC_Audio_All/いたむ - 痛む.mp3	ツウ	いたい,いたむ	pain; hurt; damage; bruise
展	unfold	ten	ten	sounds/common/ten.wav	テン	テン	unfold; expand
著	renowned	cho	arawa(su), ichijiru(shii)	JDIC_Audio_All/ちょ - 著.mp3	チョ,チャク	あらわす,いちじるしい	renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work
段	grade	dan	dan	JDIC_Audio_All/だん - 段.mp3	ダン,タン	ダン,タン	grade; steps; stairs
値	price	chi	ne, atai	JDIC_Audio_All/ね - 値.mp3	チ	ね,あたい	price; cost; value
宙	mid-air	chuu	chuu	JDIC_Audio_All/ちゅう - 宙.mp3	チュウ	チュウ	mid-air; air; space; sky; memorization; interval of time
忠	loyalty	chuu	chuu	JDIC_Audio_All/ちゅうなる - 忠なる.mp3	チュウ	チュウ	loyalty; fidelity; faithfulness
暖	warmth	dan	atata(ka), atata(kai), atata(maru), atata(meru)	JDIC_Audio_All/あったかい - 暖い.mp3	ダン,ノン	あたたか,あたたかい	warmth
宅	home	taku	taku	JDIC_Audio_All/たく - 宅.mp3	タク	タク	home; house; residence; our house; my husband
担	shouldering	tan	katsu(gu), nina(u)	JDIC_Audio_All/になう - 担う.mp3	タン	かつぐ,になう	shouldering; carry; raise; bear
探	grope	tan	sagu(ru), saga(su)	JDIC_Audio_All/さぐる - 探る.mp3	タン	さぐる,さがす	grope; search; look for
誕	nativity	tan	tan	sounds/common/tan.wav	タン	タン	nativity; be born; declension; lie; be arbitrary
層	stratum	soo	sou	JDIC_Audio_All/そう - 層.mp3	ソウ	ソウ	stratum; social class; layer; story; floor
操	maneuver	soo	misao, ayatsu(ru)	JDIC_Audio_All/みさお - 操.mp3	ソウ,サン	みさお,あやつる	maneuver; manipulate; operate; steer; chastity; virginity; fidelity
窓	window	soo	mado	JDIC_Audio_All/まど - 窓.mp3	ソウ,ス	まど,てんまど	window; pane
装	attire	soo, shoo	yosoo(u)	JDIC_Audio_All/よそおう - 装う.mp3	ソウ,ショウ	よそおう,よそおい	attire; dress; pretend; disguise; profess
臓	entrails	zoo	harawata	JDIC_Audio_All/ぞう - 臓.mp3	ゾウ	はらわた	entrails; viscera; bowels
蔵	storehouse	zoo	kura	JDIC_Audio_All/くら - 蔵.mp3	ゾウ,ソウ	くら,おさめる	storehouse; hide; own; have; possess
存	suppose	son, zon	son	JDIC_Audio_All/ぞんずる - 存ずる.mp3	ソン,ゾン	ソン,ゾン	suppose; be aware of; believe; feel
尊	revered	son	tatto(i), tooto(i), tatto(bu), tooto(bu)	JDIC_Audio_All/みこと - 尊.mp3	ソン	たっとい,とうとい	revered; valuable; precious; noble; exalted
創	genesis	soo	hajimeru	JDIC_Audio_All/はじめる - 創める.mp3	ソウ,ショウ	つくる,はじめる	genesis; wound; injury; hurt; start; originate
奏	play music	soo	kana(deru)	JDIC_Audio_All/そうする - 奏する.mp3	ソウ	かなでる	play music; speak to a ruler; complete
宣	proclaim	sen	metamau	JDIC_Audio_All/のたまう - 宣う.mp3	セン	のたまう,のたまわく	proclaim; say; announce
専	specialty	sen	moppa(ra)	JDIC_Audio_All/もっぱら - 専ら.mp3	セン	もっぱら	specialty; exclusive; mainly; solely
泉	spring	sen	izumi	JDIC_Audio_All/いずみ - 泉.mp3	セン	いずみ	spring; fountain
洗	wash	sen	ara(u)	JDIC_Audio_All/あらう - 洗う.mp3	セン	あらう	wash; inquire into; probe
染	dye	sen	so(meru), so(maru), shi(miru), shi(mi)	JDIC_Audio_All/そめる - 染める.mp3	セン	そめる,-ぞめ	dye; color; paint; stain; print
善	virtuous	zen	yo(i)	JDIC_Audio_All/ぜん - 善.mp3	ゼン	よい,いい	virtuous; good; goodness
盛	boom	sei, joo	mo(ru), saka(ru), saka(n)	JDIC_Audio_All/もる - 盛る.mp3	セイ,ジョウ	もる,さかる	boom; prosper; copulate
聖	holy	sei	hijiri	JDIC_Audio_All/せい - 聖.mp3	セイ,ショウ	ひじり	holy; saint; sage; master; priest
誠	sincerity	sei	makoto	JDIC_Audio_All/まこと - 誠.mp3	セイ	まこと	sincerity; admonish; warn; prohibit; truth; fidelity
寸	measurement	sun	sun	JDIC_Audio_All/すん - 寸.mp3	スン	スン	measurement; foot/10
垂	droop	sui	ta(reru), ta(rasu)	JDIC_Audio_All/たれる - 垂れる.mp3	スイ	たれる,たらす	droop; suspend; hang; slouch
推	conjecture	sui	o(su)	JDIC_Audio_All/おす - 推す.mp3	スイ	おす	conjecture; infer; guess; suppose; support
蒸	steam	joo	mu(su), mu(reru), mu(rasu)	JDIC_Audio_All/むれる - 蒸れる.mp3	ジョウ,セイ	むす,むれる	steam; heat; sultry; foment; get musty
針	needle	shin	hari	JDIC_Audio_All/はり - 針.mp3	シン	はり	needle; pin; staple; stinger
仁	humanity	jin, ni	jin	JDIC_Audio_All/じん - 仁.mp3	ジン,ニ	ジン,ニ	humanity; virtue; benevolence; charity; man; kernel
城	castle	joo	shiro	JDIC_Audio_All/しろ - 城.mp3	ジョウ	しろ	castle
純	genuine	jun	jun	JDIC_Audio_All/じゅん - 純.mp3	ジュン	ジュン	genuine; purity; innocence; net (profit)
処	dispose	sho	tokoro	JDIC_Audio_All/しょする - 処する.mp3	ショ	ところ,-こ	dispose; manage; deal with; sentence; condemn; act; behave; place
署	signature	sho	sho	sounds/common/sho.wav	ショ	ショ	signature; govt office; police station
諸	various	sho	moro	JDIC_Audio_All/しょ - 諸.mp3	ショ	もろ	various; many; several; together
除	exclude	jo, ji	nozo(ku)	JDIC_Audio_All/のぞく - 除く.mp3	ジョ,ジ	のぞく,-よけ	exclude; division (x/3); remove; abolish; cancel; except
傷	wound	shoo	kizu, ita(mu), ita(meru)	JDIC_Audio_All/きず - 傷.mp3	ショウ	きず,いたむ	wound; hurt; injure; impair; pain; injury; cut; gash; scar; weak point
将	leader	shoo	masani	JDIC_Audio_All/しょう - 将.mp3	ショウ,ソウ	まさに,はた	leader; commander; general; admiral; or; and again; soon; from now on; just about
障	hinder	shoo	sawa(ru)	JDIC_Audio_All/さわる - 障る.mp3	ショウ	さわる	hinder; hurt; harm
縮	shrink	shuku	chiji(mu), chiji(maru), chiji(meru), chiji(reru), chiji(rasu)	JDIC_Audio_All/ちぢめる - 縮める.mp3	シュク	ちぢむ,ちぢまる	shrink; contract; shrivel; wrinkle; reduce
熟	mellow	juku	u(reru)	JDIC_Audio_All/つくづく - 熟.mp3	ジュク	うれる	mellow; ripen; mature; acquire skill
衆	masses	shuu, shu	ooi	JDIC_Audio_All/しゅう - 衆.mp3	シュウ,シュ	おおい	masses; great numbers; multitude; populace
従	accompany	juu, shoo, ju	shitaga(u), shitaga(eru)	JDIC_Audio_All/したがう - 従う.mp3	ジュウ,ショウ	したがう,したがえる	accompany; obey; submit to; comply; follow; secondary; incidental; subordinate
縦	vertical	juu	tate	JDIC_Audio_All/たて - 縦.mp3	ジュウ	たて	vertical; length; height; self-indulgent; wayward
樹	timber trees	ju	ki	sounds/common/ki.wav	ジュ	き	timber trees; wood
収	income	shuu	osa(meru), osa(maru)	JDIC_Audio_All/おさまる - 収まる.mp3	シュウ	おさめる,おさまる	income; obtain; reap; pay; supply; store
宗	religion	shuu, soo	mune	JDIC_Audio_All/しゅう - 宗.mp3	シュウ,ソウ	むね	religion; sect; denomination; main point; origin; essence
就	concerning	shuu, ju	tsu(ku), tsu(keru)	JDIC_Audio_All/ついて - 就いて.mp3	シュウ,ジュ	つく,つける	concerning; settle; take position; depart; study; per
射	shoot	sha	i(ru)	JDIC_Audio_All/さす - 射す.mp3	シャ	いる,さす	shoot; shine into; onto; archery
捨	discard	sha	su(teru)	JDIC_Audio_All/すてる - 捨てる.mp3	シャ	すてる	discard; throw away; abandon; resign; reject; sacrifice
尺	shaku	shaku	shaku	JDIC_Audio_All/しゃく - 尺.mp3	シャク	シャク	shaku; Japanese foot; measure; scale; rule
若	young	jaku, nyaku	waka(i), mo(shikuwa)	JDIC_Audio_All/わかい - 若い.mp3	ジャク,ニャク	わかい,わか-	young; if; perhaps; possibly; low number; immature
視	inspection	shi	miru	JDIC_Audio_All/しする - 視する.mp3	シ	みる	inspection; regard as; see; look at
詞	part of speech	shi	shi	sounds/common/shi.wav	シ	シ	part of speech; words; poetry
誌	document	shi	shi	JDIC_Audio_All/し - 誌.mp3	シ	シ	document; records
磁	magnet	ji	ji	sounds/common/ji.wav	ジ	ジ	magnet; porcelain
私	private	shi	watakushi	JDIC_Audio_All/あたい - 私.mp3	シ	わたくし,わたし	private; I; me
至	climax	shi	ita(ru)	JDIC_Audio_All/いたる - 至る.mp3	シ	いたる	climax; arrive; proceed; reach; attain; result in
姿	figure	shi	sugata	JDIC_Audio_All/すがた - 姿.mp3	シ	すがた	figure; form; shape
蚕	silkworm	san	kaiko	JDIC_Audio_All/かいこ - 蚕.mp3	サン,テン	かいこ,こ	silkworm
冊	tome	satsu, saku	fumi	JDIC_Audio_All/さつ - 冊.mp3	サツ,サク	ふみ	tome; counter for books; volume
裁	tailor	sai	ta(tsu), saba(ku)	JDIC_Audio_All/さい - 裁.mp3	サイ	たつ,さばく	tailor; judge; decision; cut out (pattern)
策	scheme	saku	saku	JDIC_Audio_All/さく - 策.mp3	サク	サク	scheme; plan; policy; step; means
砂	sand	sa, sha	suna	JDIC_Audio_All/すな - 砂.mp3	サ,シャ	すな	sand
座	squat	za	suwa(ru)	JDIC_Audio_All/ざ - 座.mp3	ザ	すわる	squat; seat; cushion; gathering; sit
済	finish	sai	su(mu), su(masu)	JDIC_Audio_All/すみ - 済.mp3	サイ,セイ	すむ,-ずみ	finish; come to an end; excusable; need not
鋼	steel	koo	hagane	JDIC_Audio_All/はがね - 鋼.mp3	コウ	はがね	steel
降	descend	koo	o(riru), o(rosu), fu(ru)	JDIC_Audio_All/ふり - 降り.mp3	コウ,ゴ	おりる,おろす	descend; precipitate; fall; surrender
刻	engrave	koku	kiza(mu)	JDIC_Audio_All/きざ - 刻.mp3	コク	きざむ,きざみ	engrave; cut fine; chop; hash; mince; time; carving
穀	cereals	koku	koku	sounds/common/koku.wav	コク	コク	cereals; grain
骨	skeleton	kotsu	hone	JDIC_Audio_All/ほね - 骨.mp3	コツ	ほね	skeleton; bone; remains; frame
困	quandary	kon	koma(ru)	JDIC_Audio_All/こまる - 困る.mp3	コン	こまる	quandary; become distressed; annoyed
皇	emperor	koo, oo	ou	sounds/common/ou.wav	コウ,オウ	コウ,オウ	emperor
紅	crimson	koo, ku	beni, kurenai	JDIC_Audio_All/くれない - 紅.mp3	コウ,ク	べに,くれない	crimson; deep red
后	empress	koo	kisaki	JDIC_Audio_All/きさき - 后.mp3	コウ,ゴ	きさき	empress; queen; after; behind; back; later
孝	filial piety	koo	kou	JDIC_Audio_All/こう - 孝.mp3	コウ,キョウ	コウ,キョウ	filial piety; child's respect
誤	mistake	go	ayama(ru)	JDIC_Audio_All/あやまる - 誤る.mp3	ゴ	あやまる,-あやまる	mistake; err; do wrong; mislead
呼	call	ko	yo(bu)	JDIC_Audio_All/よぶ - 呼ぶ.mp3	コ	よぶ	call; call out to; invite
己	self	ko, ki	onore	JDIC_Audio_All/つちのと - 己.mp3	コ,キ	おのれ,つちのと	self; snake; serpent
系	lineage	kei	kei	JDIC_Audio_All/けい - 系.mp3	ケイ	ケイ	lineage; system
警	admonish	kei	imashimeru	JDIC_Audio_All/けいら - 警ら.mp3	ケイ	いましめる	admonish; commandment
劇	drama	geki	geki	JDIC_Audio_All/げき - 劇.mp3	ゲキ	ゲキ	drama; play
激	violent	geki	hage(shii)	JDIC_Audio_All/げきす - 激す.mp3	ゲキ	はげしい	violent; get excited; enraged; chafe; incite
穴	hole	ketsu	ana	JDIC_Audio_All/あな - 穴.mp3	ケツ	あな	hole; aperture; slit; cave; den
憲	constitution	ken	ken	sounds/common/ken.wav	ケン	ケン	constitution; law
権	authority	ken, gon	omori	JDIC_Audio_All/けん - 権.mp3	ケン,ゴン	おもり,かり	authority; power; rights
絹	silk	ken	kinu	JDIC_Audio_All/きぬ - 絹.mp3	ケン	きぬ	silk
厳	stern	gen, gon	ogoso(ka), kibi(shii)	JDIC_Audio_All/きびしい - 厳しい.mp3	ゲン,ゴン	おごそか,きびしい	stern; strictness; severity; rigidity
源	source	gen	minamoto	JDIC_Audio_All/みなもと - 源.mp3	ゲン	みなもと	source; origin
敬	awe	kei	uyama(u)	JDIC_Audio_All/けい - 敬.mp3	ケイ,キョウ	うやまう	awe; respect; honor; revere
筋	muscle	kin	suji	JDIC_Audio_All/すじ - 筋.mp3	キン	すじ	muscle; sinew; tendon; fiber; plot; plan; descent
胸	bosom	kyoo	mune, muna	JDIC_Audio_All/むね - 胸.mp3	キョウ	むね,むな-	bosom; breast; chest; heart; feelings
郷	home town	kyoo, goo	sato	JDIC_Audio_All/きょう - 郷.mp3	キョウ,ゴウ	さと	home town; village; native place; district
勤	diligence	kin, gon	tsuto(meru), tsuto(maru)	JDIC_Audio_All/つとめる - 勤める.mp3	キン,ゴン	つとめる,-づとめ	diligence; become employed; serve
供	submit	kyoo, ku	sona(eru), tomo	JDIC_Audio_All/とも - 供.mp3	キョウ,ク	そなえる,とも	submit; offer; present; serve (meal); accompany
貴	precious	ki	tatto(i), tooto(i), tatto(bu), tooto(bu)	JDIC_Audio_All/き - 貴.mp3	キ	たっとい,とうとい	precious; value; prize; esteem; honor
疑	doubt	gi	utaga(u)	JDIC_Audio_All/ぎ - 疑.mp3	ギ	うたがう	doubt; distrust; be suspicious; question
吸	suck	kyuu	su(u)	JDIC_Audio_All/すいこむ - 吸いこむ.mp3	キュウ	すう	suck; imbibe; inhale; sip
揮	brandish	ki	furuu	JDIC_Audio_All/ふるう - 揮う.mp3	キ	ふるう	brandish; wave; wag; swing; shake
机	desk	ki	tsukue	JDIC_Audio_All/つくえ - 机.mp3	キ	つくえ	desk; table
危	dangerous	ki	abu(nai), aya(ui), aya(bumu)	JDIC_Audio_All/き - 危.mp3	キ	あぶない,あやうい	dangerous; fear; uneasy
簡	simplicity	kan	kan	JDIC_Audio_All/かん - 簡.mp3	カン	カン	simplicity; brevity
株	stocks	shu	kabu	JDIC_Audio_All/かぶ - 株.mp3	シュ	かぶ	stocks; stump; shares; stock; counter for small plants
巻	scroll	kan	ma(ku), maki	JDIC_Audio_All/かん - 巻.mp3	カン,ケン	まく,まき	scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls)
干	dry	kan	ho(su), hi(ru)	JDIC_Audio_All/ほし - 干.mp3	カン	ほす,ほし-	dry; parch
看	watch over	kan	miru	JDIC_Audio_All/みる - 看る.mp3	カン	みる	watch over; see
灰	ashes	kai	hai	JDIC_Audio_All/はい - 灰.mp3	カイ	はい	ashes; puckery juice; cremate
拡	broaden	kaku	hirogaru	JDIC_Audio_All/ひろがり - 拡がり.mp3	カク,コウ	ひろがる,ひろげる	broaden; extend; expand; enlarge
閣	tower	kaku	kaku	sounds/common/kaku.wav	カク	カク	tower; tall building; palace
革	leather	kaku	kawa	JDIC_Audio_All/かわ - 革.mp3	カク	かわ	leather; become serious; skin; hide; pelt
割	proportion	katsu	wa(ru), wari, wa(reru), sa(ku)	JDIC_Audio_All/わり - 割.mp3	カツ	わる,わり	proportion; comparatively; divide; cut; separate; split
宇	eaves	u	u	JDIC_Audio_All/う - 宇.mp3	ウ	ウ	eaves; roof; house; heaven
映	reflect	ei	utsu(ru), utsu(su), ha(eru)	JDIC_Audio_All/うつり - 映り.mp3	エイ	うつる,うつす	reflect; reflection; projection
延	prolong	en	no(biru), no(beru), no(basu)	JDIC_Audio_All/のび - 延び.mp3	エン	のびる,のべる	prolong; stretching
沿	run alongside	en	so(u)	JDIC_Audio_All/そって - 沿って.mp3	エン	そう,-ぞい	run alongside; follow along; run along; lie along
我	ego	ga	ware, wa	JDIC_Audio_All/われ - 我.mp3	ガ	われ,わ	ego; I; selfish; our; oneself
異	uncommon	I	koto	JDIC_Audio_All/い - 異.mp3	イ	こと,ことなる	uncommon; queerness; strangeness; wonderful; curious; unusual
遺	bequeath	i, yui	nokosu	JDIC_Audio_All/のこす - 遺す.mp3	イ,ユイ	のこす	bequeath; leave behind; reserve
域	range	iki	iki	JDIC_Audio_All/いき - 域.mp3	イキ	イキ	range; region; limits; stage; level
